Чий блестящий                            
Житняк гребенчатый                       
Житняк двурядный                         
Житняк Михно                             
Житняк гребневидный                      
Полевица булавовидная                    
Полевица широкометельчатая               
Полевица гигантская                      
Полевица монгольская                     
Полевица сибирская                       
Полевица побегобразущая                  
Полевица тонкая                          
Полевица Триниуса                        
Лисохвост равный                         
Лисохвост тростниковый                   
Лисохвост короткоколосый                 
Лисохвост сизый                          
Лисохвост луговой                        
Лисохвост Турчанинова                    
Пахучеколосник душистый, душистый колосок
Арктополевица, арктагростис широколистная
Арктомятлик, мятлик широкометельчатый    
Бекманния восточная                      
Коротконожка перистая                    
Кострец южносибирский                    
Кострец безостый                         
Кострец Караваева                        
Кострец Короткого                        
Кострец Пампэлла                         
Костер ржаной                            
Вейник тростниковый                      
Вейник наземный                          
Вейник Короткого                         
Вейник лапландский                       
Вейник тонкостебельный                   
Вейник незамечаемый                      
Вейник притупленный                      
Вейник Павлова                           
Вейник ложнотростниковый                 
Вейник пурпуровый                        
Вейник Турчанинова                       
Цинна широколистная                      
Змеевка Китагавы                         
Змеевка растопыренная                    
Ежа сборная                              
Щучка дернистая                          
Щучка Сукачева                           
Щучка Турчанинова                        
Ежовник обыкновенный, куриное просо      
Пырейник собачий                         
Пырейник смешиваемый                     
Пырейник даурский                        
Пырейник высокий                         
Пырейник Гмелина                         
Пырейник волокнистый                     
Пырейник изменчивый                      
Пырейник сибирский                       
Пырейник новоанглийский                  
Пырейник забайкальский                   
Пырей ползучий                           
Овсяница байкальская                     
Овсяница дальневосточная                 
Овсяница Комарова                        
Овсяница Крылова                         
Овсяница курчумская                      
Овсяница ленская, типчак ленский         
Овсяница ольхонская                      
Овсяница овечья, типчак овечий           
Овсяница луговая                         
Овсяница ложнобороздчатая                
Овсяница красная                         
Овсяница сибирская                       
Овсяница валлисская                      
Манник литовский                         
Манник длинноколосковый                  
Манник трехцветковый                     
Овсец алтайский                          
Овсец пушистый                           
Овсец Шелля                              
Зубровка альпийская                      
Зубровка голая                           
Зубровка охотская                        
Зубровка душистая                        
Зубровка сибирская                       
Ячмень короткоостистый                   
Ячмень Рожевица                          
Тонконог алтайский                       
Тонконог гребенчатый                     
Тонконог жестковолосистоцветковый        
Леймус, колосняк бурятский               
Леймус китайс­кий, вострец китайский     
Леймус пушистоколосый                    
Леймус прибрежный                        
Леймус ветвистый                         
Леймус ржаной                            
Перловник поникающий                     
Перловник Турчанинова                    
Бор развесистый                          
Белоус торчащмй                          
Ленок                                    
Просо посевное                           
Двукисточник тростниковый                
Тимофеевка степная                       
Тимофеевка луговая                       
Мятлик узколистный                       
Мятлик оттянутый                         
Мятлик кистевидный                       
Мятлик иркутский                         
Мятлик Крылова                           
Мятлик боровой                           
Мятлик болотный                          
Мятлик луговой                           
Мятлик ложноболотный                     
Мятлик Скворцова                         
Мятлик Смирнова                          
Мятлик забайкальский                     
Ковылечек монгольский                    
Бескильница Гаупта                       
Бескильница монгольская                  
Бескильница тончайшая                    
Схизахна мозолистая                      
Тростянка овсяницевая                    
Щетинник зеленый                         
Серобородник сибирский                   
Ковыль волосатик                         
Ковыль галечный                          
Ковыль Крылова                           
Ковыль перистый                          
Трищетинник сибирский                    
Пухонос приземестый                      
Поточник рыжий                           
Клубнекамыш плоскостебельный             
Осока острая                             
Осока белая                              
Осока алтайская                          
Осока амгунская                          
Осока придатконосая                      
Осока аргунская                          
Осока Арнелля                            
Осока шероховатая                        
Осока темнейшая                          
Осока остистая                           
Осока буреющая                           
Осока Буксбаума                          
Осока сероватая                          
Осока волосовидная                       
Осока головчатая                         
Осока гвоздичная                         
Осока дернистая                          
Осока клопоносная                        
Осока курайская                          
Осока даурская                           
Осока изящная                            
Осока двухтычинковая                     
Осока двуокрашенная                      
Осока светлая                            
Осока двудомная                          
Осока двусемянная.                       
Осока двурядная                          
Осока камнелюбивая                       
Осока твердоватая                        
Осока безжилковая                        
Осока мечелистная                        
Осока еравнинская                        
Осока пустошная                          
Осока ледниковая                         
Осока серповидная                        
Осока Хэнкока                            
Осока болотородная                       
Осока разночешуйная                      
Осока Ильина                             
Осока ситничек                           
Осока Коржинского                        
Осока ланцетная                          
Осока волосистоплодная                   
Осока заячья                             
Осока топяная                            
Осока плевельная                         
Осока большехвостая                      
Осока магеланская                        
Осока морская                            
Осока средняя                            
Осока черноцветковая                     
Осока Мейера                             
Осока мелкоостренник                     
Осока низкая                             
Осока черная                             
Осока притупленная                       
Осока овальная                           
Осока бледная                            
Осока просяная                           
Осока малоцветковая                      
Осока стоповидная                        
Осока ранняя                             
Осока ложнокурайская                     
Осока ползучая                           
Осока вздутоносая                        
Осока кругловатая                        
Осока наскальная                         
Осока песчаная                           
Осока сабинская                          
Осока саянская                           
Осока Шмидта                             
Осока ржаная                             
Осока Седакова                           
Осока тонкоцветковая                     
Осока войлочная                          
Осока толстоколосковая                   
Осока пузыреватая                        
Болотница игольчатая.                    
Болотница болотная                       
Болотница пятицветковая                  
Болотница сараптская                     
Болотница одноцветковая                  
Пушица короткопыльниковая                
Пушица стройная                          
Пушица низкая                            
Пушица Комарова                          
Пушица рыжеватая                         
Кобрезия нителистная                     
Кобрезия мышехвостниковая                
Камыш Ипполита                           
Камыш Максимовича                        
Камыш восточный                          
Камыш укореняющийся                      
Камыш лесной                             
Aир тростниковый                         
Белокрыльник болотный                    
Ряска маленькая                          
Ряска тройчатая                          
Коммелина обыкновенная                   
Ситник альпийскочленистый                
Ситник лягушачий                         
Ситник темно-бурый                       
Ситник двухчешуйчатый                    
Ситник жабий                             
Ситник сплюснутый                        
Ситник Жерара                            
Ситник белообертковый                    
Ситник солончаковый                      
Ситник трехглавый                        
Ситник трехчешуйный                      
Ситник Введенского                       
Ожика спутанная                          
Ожика бледноватая                        
Ожика мелкоцветковая                     
Ожика волосистая                         
Ожика рыжеватая                          
Ожика уналашкийская                      
Лук алтайский                            
Лук неравноногий                         
Лук двузубчатый                          
Лук бурятский                            
Лук черемша                              
Лук скорода                              
Лук стареющий                            
Лук блестящий                            
Лук Стеллера                             
Лук тончайший                            
Спаржа бурятская                         
Рябчик дагана                            
Гусинолук зернистый                      
Гусинолук малоцветковый                  
Лилия пенсильванская                     
Лилия саранка                            
Лилия карликовая                         
Тюльпан одноцветковый                    
Майник двулистный                        
Купена душистая                          
Смилацина трехлистная                    
Тофильдия краснеющая                     
Чемерица Лобеля                          
Чемерица черная                          
Зигаденус сибирский                      
Красоднев малый                          
Вороний глаз четырехлистный              
Ирис низкий                              
Ирис сглаженный                          
Ирис Потанина                            
Ирис кроваво-красный                     
Пололепестник зеленый                    
Ладьян трехнадрезанный                   
Башмачок известняковый, б.настоящий      
Башмачок капельный, б. пятнистый         
Башмачок крупноцветковый                 
Пальчатокоренник Фукса                   
Пальчатокоренник Мейера (гебридский)     
Дремлик зимовниковый                     
Дремлик болотный                         
Надбровник безлистный                    
Кокушник длиннорогий                     
Хаммарбия болотная                       
Бровник одноклубневой                    
Лизиелла малоцветковая                   
Ятрышник шлемоносный                     
Скрученник приятный                      
Тулотис буреющий                         
Тополь байкальский                       
Тополь бальзамический                    
Тополь лавролистный                      
Тополь душистый                          
Осина, тополь дрожащий                   
Ива скрытая                              
Ива Бэбба                                
Ива коротконожковая                      
Ива шерстистопобеговая                   
Ива растопыренная                        
Ива копьевидная                          
Ива енисейская                           
Ива Коха                                 
Ива Крылова                              
Ива Черничная                            
Ива ложнопятитычинковая                  
Ива грушанколистная                      
Ива прямосережчатая                      
Ива крушинолистная                       
Ива росистая                             
Ива розмаринолистная                     
Ива скальная                             
Ива Шверина                              
Ива тарайкинская                         
Ива прутовидная                          
Береза растопыренная                     
Береза кустарниковая                     
Береза бурая                             
Береза низкая                            
Береза шерстистая                        
Береза карликовая (круглолистная)        
Береза повислая                          
Береза плосколистная                      
Береза пушистая                           
Душекия кустарниковая, ольха кустарниковая
Конопля посевная                          
Постенеца мелкоцветная                    
Крапива узколистная                       
Крапива коноплевая                        
Крапива двудомная                         
Крапива пикульниколистная                 
Крапива Сондена                           
Крапива жгучая                            
Ленец длиннолистный                       
Ленец преломленный                        
Ленец ползучий                            
Ленец щебнистый                           
Таран аянский                             
Таран альпийский                          
Таран узколистный                         
Таран растопыренный                       
Таран раструбистый                        
Таран шелковистый                         
Змеевик лисохвостниковый                  
Змеевик утончающийся                      
Змеевик большой                           
Змеевик живородящий                       
Гречиха татарская                         
Фаллопия вьюнковая                        
Кноррингия сибирская                      
Горец земноводный                         
Горец перечный                            
Горец развесистый                         
Горец малый                               
Спорыш птичий                             
Спорыш незамеченный                       
Ревень густоцветковый                     
Ревень обыкновенный                       
Щавель воробьиный                         
Щавель приальпийский                      
Щавель водяной                            
Щавель вытянутый                          
Щавель Гмелина                            
Щавель Маршалла                           
Щавель ложносолончаковый                  
Щавель узколистный                        
Щавель пирамидальный                      
Колючестебельник Зибольда                 
Лебеда сибирская                          
Аксирис щирицевый                         
Аксирис гибридный                         
Марь белая                                
Марь сизая                                
Марь гибридная                            
Марь Каро                                 
Марь красная                              
Верблюдка алтайская                       
Верблюдка сибирская                       
Верблюдка тонколистная                    
Верблюдка курчавоплодная                  
Кохия стелющаяся                          
Солянка южная                             
Солянка холмовая                          
Сведа рожконосная                         
Телоксис остистая                         
Щирица запрокинутая                       
Монция родниковая                         
Куколь посевной                           
Песчанка чабрецелистная                   
Ясколка полевая                           
Ясколка континентальная                   
Ясколка даурская                          
Ясколка костенецевидная                   
Ясколка малоцветковая                     
Ясколка крупная                           
Ясколка маленькая                         
Кукушник обыкновенный                     
Гвоздика ползучая                         
Гвоздика пышная                           
Еремогона волосовидная                    
Еремогона Мейера                          
Бахромчатолепесник лучистый               
Гастролихнис безлепестный                 
Гастролихнис коротколепестковый           
Гастролихнис Попова                       
Гастролихнис траурный                     
Качим высокий                             
Качим Патрэна                             
Зорька сибирская                          
Дрема беловатая                           
Минуарция арктическая                     
Минуарция двуцветковая                    
Минуарция высокая                         
Мерингия бокоцветная                      
Хлопушка обыкновенная                     
Ушанка енисейская                         
Песколюбочка постенная                    
Ложнозвездчатка скальная                  
Мшанка моховидная                         
Дивала однолетняя                         
Cмолевка солнечная                        
Смолевка хамарская                        
Cмолевка ениейская                        
Cмолевка поникшая                         
Cмолевка ползучая                         
Торица обыкновенная                       
Торичник красный                          
Звездчатка ангарская                      
Звездчатка Бунге                          
Звездчатка шерлериевидная                 
Звездчатка толстолистная                  
Звездчатка даурская                       
Звездчатка развилистая                    
Звездчатка злачная                        
Звездчатка тонкостебельная                
Звездчатка Лаксмана                       
Звездчатка длиннолистная                  
Звездчатка средняя, мокрица               
Звездчатка Шишкина                        
Кувшинка чисто-белая                      
Роголистник погруженный                   
Пион марьин корень                        
Борец байкальский                         
Борец бородатый                           
Борец длиннокистевой                      
Борец горнобайкальский                    
Борец красноватый                         
Борец северный                            
Воронец красноплодный                     
Стародубка сибирская                      
Анемонаструм длинноволосистый             
Анемонаструм сибирский                    
Анемонидиум вильчатый                     
Анемоноидес алтайский                     
Анемоноидес байкальский                   
Анемоноидес енисейский                    
Анемоноидес отогнутый                     
Водосбор сибирский                        
Княжик сибирский                          
Шелковник водный                          
Шелковник завитой                         
Шелковник расходящийся                    
Шелковник неукореняющийся                 
Шелковник щитовидный                      
Шелковник волосистый                      
Красивоцвет равноплодниковый              
Калужница арктическая                     
Калужница городчатая                      
Калужница болотная                        
Калужница перепончатая                    
Клопогон вонючий                          
Ломонос шестилепестковый                  
Укрепительница полевая, консолида полевая 
Живокость губоцветковая                   
Живокость толстолистная                   
Живокость высокая                         
Живокость Коржинского                     
Ползунок солончаковый                     
Ползунок отпрысковый                      
Лептопирум дымянковый                     
Прострел сомнительный                     
Прострел узколистный                      
Прострел желтоватый                       
Прострел многонадрезанный                 
Прострел тонколопастной                   
Прострел Турчанинова                      
Лютик алтайский                           
Лютик сходный                             
Лютик даурский                            
Лютик гладковатый                         
Лютик Гмелина                             
Лютик большой                             
Лютик японский                            
Лютик лапландский                         
Лютик длинностебельный                    
Лютик однолистный                         
Лютик плавающий                           
Лютик лапчатораздельный                   
Лютик многоцветковый                      
Лютик близкий                             
Лютик красивый                            
Лютик укореняющийся                       
Лютик ползучий                            
Лютик простертый                          
Лютик жесткий                             
Лютик ядовитый                            
Лютик Смирнова                            
Весенник сибирский                        
Такла плавающая                           
Василистник альпийский                    
Василистник придатковый                   
Василистник байкальский                   
Василистник вонючий                       
Василистник остролопастной                
Василистник шаровидный                    
Василистник малый                         
Василистник ложнолепестковый              
Василистник простой                       
Василистник редкоцветковый                
Василистник растопыренный                 
Купальница иркутская                      
Барбарис сибирский                        
Луносемянник даурский                     
Чистотел большой                          
Мак песчаный                              
Мак голостебельный                        
Мак ольхонский                            
Мак оранжево-красный                      
Мак щетинистый                            
Хохлатка сибирская                        
Дымянка аптечная                          
Дымянка Шлейхера                          
Гипекоум прямой                           
Бурачок байкальский                       
Бурачок ленский                           
Бурачок мелколистный                      
Бурачок яйцевидный                        
Бурачок скривленный                       
Резуха повислая                           
Резуха стреловидная                       
Сурепка дуговидная                        
Икотник серый                             
Бородиния Тилинга                         
Капуста полевая                           
Горчица сарептская                        
Cвербига восточная                        
Рыжик мелкоплодный                        
Пастушья сумка обыкновенная               
Сердечник маргаритколистный               
Сердечник крупнолистный                   
Сердечник луговой                         
Сердечник трехнадрезанный                 
Клаусия солнцепечная                      
Дескурения Софии                          
Диморфостемон гребенчатый                 
Донтостемон зубчатый                      
Донтостемон цельнолистный                 
Донтостемон мелкоцветковый                
Крупка седая                              
Крупка серая                              
Крупка перелесковая                       
Крупка почтистеблеобъемлющая              
Желтушник левкойный                       
Желтушник желтый                          
Желтушник ястребинколистный               
Вечерница сибирская                       
Вайда якутская                            
Вайда продолговатая                       
Клоповник сходный                         
Клоповник густоцветковый                  
Клоповник широколистный                   
Клоповник мусорный                        
Неслия метельчатая                        
Неоторулария низкая                       
Ярутка ложечная                           
Птилотрихум тонколистный                  
Редька дикая                              
Жерушник болотный                         
Горчица полевая                           
Гулявник вислоплодный                     
Гулявник Лезеля                           
Смеловския белая                          
Стевения бурачковидная                    
Теллунгиелла солонцовая                   
Ярутка полевая                            
Башеница гладкая                          
Росянка английская                        
Росянка круглолистная                     
Гилотелифиум трехлистный                  
Горноколосник мягколистный                
Горноколосник колючий                     
Родиола четырехнадрезанная                
Очиток живучий                            
Крыжовник иглистый                        
Смородина черная кислица                  
Смородина темно-пурпуровая                
Смородина двуиглая, таранушка             
Смородина черная                          
Смородина немногоцветная (малоцветковая)  
Смородина моховка                         
Смородина красивенькая                    
Смородина колосистая                      
Смородина печальная                       
Бадан толстолистный                       
Селезеночник Альберта                     
Селезеночник очереднолистный              
Селезеночник байкальский                  
Селезеночник голостебельный               
Селезеночник Седакова                     
Мителла голая                             
Камнеломка летняя                         
Камнеломка гребенчато-реснитчатая         
Камнеломка поникшая                       
Камнеломка ястребинколистная              
Камнеломка козлик                         
Камнеломка пегая                          
Камнеломка супротивнолистная              
Камнеломка сибирская                      
Камнеломка колючая                        
Камнеломка Стеллера                       
Белозор Лаксмана                          
Белозор болотный                          
Репейничек волосистый                     
Манжетка разночерешковая                  
Манжетка желтеющая                        
Манжетка сибирская                        
Хамеродос прямостоячий                    
Хамеродос крупноцветковый                 
Кизильник блестящий                       
Кизильник чернополодный                   
Кизильник новый Попова                    
Кизильник одноцветковый                   
Боярышник даурский                        
Боярышник Максимовича                     
Боярышник кровавокрасный                  
Дриада большая                            
Дриада надрезанная                        
Дриада Сумневича                          
Лабазник дланевидный                      
Лабазник вязолистный                      
Земляника восточная                       
Земляника зеленая, клубника               
Гравилат алепский                         
Яблоня ягодная                            
Черемуха азиатская                        
Пятилистник кустарниковый                 
Лапчатка бесстебельная                    
Лапчатка скученная                        
Лапчатка гусиная                          
Лапчатка песчанистая                      
Лапчатка серебристая                      
Лапчатка вильчатая                        
Лапчатка седоватая                        
Лапчатка снежная                          
Лапчатка золотистоцветковая               
Лапчатка сжатая                           
Лапчатка частозубчатая                    
Лапчатка изящная                          
Лапчатка неодетая                         
Лапчатка плетевидная                      
Лапчатка земляниковидная                  
Лапчатка длиннолистная                    
Лапчатка Лидии                            
Лапчатка многонадрезанная                 
Лапчатка голостебельная                   
Лапчатка норвежская                       
Лапчатка озерская                         
Лапчатка кровохлебковая                   
Лапчатка полуголая                        
Лапчатка шелковистая                      
Лапчатка странная                         
Лапчатка трехпарная                       
Лапчатка мутовчатая                       
Роза иглистая                             
Роза даурская                             
Роза майская                              
Малина арктическая, княженика             
Морошка                                   
Малина боярышниколистная                  
Малина хмелелистная                       
Малина сахалинская                        
Костяника каменистая                      
Кровохлебка лекарственная                 
Сиббальдия распростертая                  
Сиббальдиецвет прижатый                   
Рябинник Палласа                          
Рябина сибирская                          
Таволга альпийская                        
Таволга извилистая                        
Таволга средняя                           
Таволга иволистная                        
Амория гибридная                          
Амория горная                             
Амория ползучая                           
Астрагал приподнимающийся                 
Астрагал лисохвойстный                    
Астрагал альпийский                       
Астрагал ангарский                        
Астрагал озерский                         
Астрагал южносибирский                    
Астрагал двунадрезанный                   
Астрагал датский                          
Астрагал даурский                         
Астрагал холодный                         
Астрагал неожиданный                      
Астрагал Кауфмана                         
Астрагал заячий                           
Астрагал хмелевидный                      
Астрагал донниковый                       
Астрагал норвежский                       
Астрагал сходный                          
Астрагал полукустарниковый                
Астрагал бороздчатый                      
Астрагал болотный                         
Карагана гривастая                        
Карагана карликовая                       
Карагана алтайская                        
Хризаспис темнокаштановый                 
Солодка уральская                         
Гюльденштедтия весенняя                   
Копеечник щетинистый                      
Копеечник затопляемый                     
Чина низкая                                     
Чина волосистая                                 
Чина гороховидная                               
Чина луговая                                    
Чина клубненосная                               
Леспедеца даурская                              
Леспедеца ситниковая                            
Лядвинец рогатый                                
Люпинастер люпиновидный                         
Люцерна серповидная                             
Люцерна хмелевидная                             
Люцерна посевная                                
Мелилотоидес плоскоплодный                      
Мелилотоидес русский                            
Донник белый                                    
Донник душистый                                 
Эспарцет сибирский                              
остролодочник байкальский                       
Остролодочник дерновинный                       
Остролодочник голубой                           
Остролодочник наклоненный                       
Остролодочник голый                             
Остролодочник крупноцветковый                   
Остролодочник Кузнецова                         
Остролодочник шерстистый                        
Остролодочник беловолосистый                    
Остролодочник длинноносый                       
Остролодочник мягкоигольчатый                   
Остролодочник остролистный                      
Остролодочник волосистый                        
Остролодочник Попова                            
Остролодочник грязноватый                       
Остролодочник лесной                            
Остролодочник томпудский                        
Остролодочник трагакантовый                     
Остролодочник трехлистный                       
Остролодочник Турчанинова                       
